thisRow.t,notes,time,condition,accuracy,prop,rolling_acc,confidence,participant,session,
,,6.290996680036187e-06,0,1,0.6,0.0,high,675675657567,001,
,,10.970044665999012,90,0,0.45,0.0,high,675675657567,001,
,,19.580598625005223,90,1,0.4,0.0,high,675675657567,001,
,,28.552193041017745,90,0,0.4,0.5,high,675675657567,001,
,,37.190770375018474,90,1,0.35000000000000003,0.3333333333333333,high,675675657567,001,
,,46.356554250000045,90,1,0.35000000000000003,0.5,high,675675657567,001,
,,55.23702504101675,90,0,0.4,0.6,high,675675657567,001,
,,63.66641441601678,0,0,0.6,1.0,low,675675657567,001,
,,75.09618625001167,0,1,0.5499999999999999,0.5,high,675675657567,001,
,,83.33093554101652,0,1,0.5499999999999999,0.6666666666666666,high,675675657567,001,
,,92.07713474999764,0,1,0.6,0.75,high,675675657567,001,
,,100.91038454099908,0,0,0.6,0.8,high,675675657567,001,
,,110.13658229101566,90,0,0.35000000000000003,0.5,high,675675657567,001,
,,118.43148141601705,0,0,0.5499999999999999,0.6666666666666666,high,675675657567,001,
,,126.41087808299926,90,1,0.30000000000000004,0.42857142857142855,high,675675657567,001,
