thisRow.t,notes,phase,angle_bias,color_cue,true_shape,chosen_shape,chosen_conf,control_rating_0to100,accuracy,prop_used,running_accuracy,participant,session,
,,practice,90,green,square,square,guess,90.0,1,0.6499999999999999,1.0,12121212233,001,
,,practice,0,blue,square,square,confident,90.0,1,0.45,1.0,12121212233,001,
,,practice,90,green,dot,square,guess,0,0,0.7,0.5,12121212233,001,
