thisRow.t,notes,phase,angle_bias,color_cue,true_shape,chosen_shape,chosen_conf,control_rating_0to100,accuracy,prop_used,running_accuracy,participant,session,
,,practice,90,green,dot,square,guess,11.0,0,0.75,0.0,32478237846,001,
,,practice,0,blue,dot,square,guess,11.0,0,0.55,0.0,32478237846,001,
,,practice,90,blue,square,square,guess,1.0,1,0.6000000000000001,0.5,32478237846,001,
,,practice,90,green,dot,square,guess,11.0,0,0.8,0.0,32478237846,001,
,,practice,0,green,square,square,guess,11.0,1,0.8500000000000001,0.3333333333333333,32478237846,001,
