timestamp,frame,mouse_x,mouse_y,square_x,square_y,dot_x,dot_y,participant,session,trial_num,phase,angle_bias,expect_level,prop_used,conf_level,agency_rating
0.00014791684225201607,1,-1.0,0.0,-149.81515977095728,-0.0763812131838701,150.07393609161707,-0.15055248527354803,,001,1,practice,90,high,0.6,1,
0.013123333919793367,2,-1.0,0.0,-149.6672875877231,-0.1374861837309662,150.13308496491075,-0.2709944734923865,,001,1,practice,90,high,0.6,1,
0.01619258406572044,3,-1.0,3.0,-148.95242045385106,-0.2504401699606576,150.05903181845957,-0.39297606798426304,,001,1,practice,90,high,0.6,1,
0.029839209048077464,4,-1.0,3.0,-148.38052674675342,-0.3408033589444107,149.99978930129862,-0.49056134357776426,,001,1,practice,90,high,0.6,1,
0.0324502089060843,5,-2.0,6.0,-147.37217111292065,-0.7238583841417582,149.81273155483171,-0.8129353536567032,,001,1,practice,90,high,0.6,1,
0.04644037503749132,6,-2.0,6.0,-146.56548660585443,-1.0303024042996363,149.6630853576582,-1.0708345617198545,,001,1,practice,90,high,0.6,1,
0.04889595904387534,7,-5.0,10.0,-145.4749662328931,-2.170902318465428,149.24143750684271,-1.995331807386171,,001,1,practice,90,high,0.6,1,
0.06312229204922915,8,-5.0,10.0,-144.60254993452406,-3.0833822497980616,148.90411922619035,-2.734929603919224,,001,1,practice,90,high,0.6,1,
0.06571479188278317,9,-11.0,18.0,-143.03202028488792,-5.612970360944712,148.0233032460448,-4.766449507577884,,001,1,practice,90,high,0.6,1,
0.07981179188936949,10,-11.0,18.0,-141.775596565179,-7.636640849862033,147.31865046192837,-6.391665430504813,,001,1,practice,90,high,0.6,1,
0.08275583386421204,11,-21.0,28.0,-142.24888055126348,-11.666856060599692,144.96355904989457,-9.856349696687875,,001,1,practice,90,high,0.6,1,
0.09675166686065495,12,-21.0,28.0,-142.62750774013108,-14.891028229189818,143.07948592026753,-12.628097109634325,,001,1,practice,90,high,0.6,1,
0.09982845885679126,13,-50.0,44.0,-142.27095743236126,-24.06165741430596,139.91600824011147,-20.9620116200891,,001,1,practice,90,high,0.6,1,
0.113142249872908,14,-50.0,44.0,-141.9857171861454,-31.398160762398874,137.3852260959866,-27.62914322845292,,001,1,practice,90,high,0.6,1,
0.11564304190687835,15,-81.0,57.0,-147.9733122935529,-39.82939158020069,131.31428545893465,-37.70765977087497,,001,1,practice,90,high,0.6,1,
0.12986074993386865,16,-81.0,57.0,-152.76338837947893,-46.57437623444215,126.45753294929307,-45.77047300481261,,001,1,practice,90,high,0.6,1,
0.13246758398599923,17,-123.0,71.0,-165.4473460142276,-51.76078427384956,117.35137223517667,-57.17689171836842,,001,1,practice,90,high,0.6,1,
0.1465213750489056,18,-123.0,71.0,-175.59451212202654,-55.90991070537549,110.06644366388355,-66.30202668921306,,001,1,practice,90,high,0.6,1,
0.14937274996191263,19,-146.0,76.0,-188.40599407397707,-59.58798713978656,101.7610011805645,-76.50564478156491,,001,1,practice,90,high,0.6,1,
0.1631437090691179,20,-146.0,76.0,-198.65517963553748,-62.53044828731542,95.11664719390927,-84.66853925544639,,001,1,practice,90,high,0.6,1,
0.16565137496218085,21,-173.0,79.0,-212.28590692097055,-65.0262760712746,87.2686124701112,-94.49559838092601,,001,1,practice,90,high,0.6,1,
0.18041937495581806,22,-173.0,79.0,-223.19048874931698,-67.02293829844193,80.99018469107273,-102.3572456813097,,001,1,practice,90,high,0.6,1,
0.18307379190810025,23,-208.0,80.0,-237.34236457762697,-73.04457957762219,73.67615832158883,-114.61628812059521,,001,1,practice,90,high,0.6,1,
0.19689433393068612,24,-208.0,80.0,-238.57777250827738,-74.70372457239758,67.82493722600171,-124.42352207202363,,001,1,practice,90,high,0.6,1,
0.1999081668909639,25,-234.0,79.0,-237.56079506830872,-77.8772665577897,61.83796393344687,-136.9056648053566,,001,1,practice,90,high,0.6,1,
0.2131224588956684,26,-234.0,79.0,-236.75454798028122,-80.29498122954338,57.048385299403,-146.89137899202296,,001,1,practice,90,high,0.6,1,
0.21604899992235005,27,-261.0,76.0,-234.98846598090265,-85.32538224902456,52.487259995254234,-160.0004480642239,,001,1,practice,90,high,0.6,1,
0.229663458885625,28,-261.0,76.0,-233.56157979317447,-89.15709979870698,48.83835975193522,-170.48770332198464,,001,1,practice,90,high,0.6,1,
0.23250566702336073,29,-282.0,72.0,-231.30407661855003,-94.86002392810109,45.76671825375329,-182.98644327283014,,001,1,practice,90,high,0.6,1,
0.24671166692860425,30,-282.0,72.0,-229.46849275717744,-99.21799651146557,43.30940505520774,-192.98543523350654,,001,1,practice,90,high,0.6,1,
0.24991716700606048,31,-289.0,69.0,-227.4702202738865,-103.71739916016767,42.212520855981914,-202.1595216875868,,001,1,practice,90,high,0.6,1,
0.2637192499823868,32,-289.0,69.0,-225.8443814500028,-107.21154493554151,41.335013496601256,-209.49879085085098,,001,1,practice,90,high,0.6,1,
0.26650470891036093,33,-297.0,64.0,-223.72463898606176,-111.56740523359112,41.4249408152189,-217.06011141119265,,001,1,practice,90,high,0.6,1,
0.2797000838909298,34,-297.0,64.0,-221.9958555670302,-114.96886583359114,41.496882670113024,-223.109167859466,,001,1,practice,90,high,0.6,1,
0.28246587491594255,35,-302.0,58.0,-219.9085256548605,-118.9127425648974,42.74277026372347,-228.96201084411382,,001,1,practice,90,high,0.6,1,
0.2971194589044899,36,-302.0,58.0,-218.2031645940854,-122.01384741547363,43.739480338611834,-233.64428523183207,,001,1,practice,90,high,0.6,1,
