timestamp,frame,mouse_x,mouse_y,square_x,square_y,dot_x,dot_y,cursor_x,cursor_y,participant,session,trial_num,phase,angle_bias,expect_level,prop_used,conf_level,agency_rating
0.00017437501810491085,1,-101.0,2.0,-450.0,0.0,150.0,0.0,-100.32,-0.15999999999999995,,001,1,practice,90,high,0.8,3,
0.004163334146142006,2,-102.0,3.0,-450.06161327233536,0.2760503661872791,149.93838672766466,0.2760503661872791,-100.74832265446706,-0.3927899267625441,,001,1,practice,90,high,0.8,3,
0.015068084001541138,3,-102.0,3.0,-450.11090389020364,0.49689065913710234,149.88909610979638,0.49689065913710234,-101.09098077804072,-0.5790218681725794,,001,1,practice,90,high,0.8,3,
0.018835166934877634,4,-102.0,3.0,-450.15033638449825,0.673562893496961,149.84966361550175,0.673562893496961,-101.36510727689964,-0.7280074213006076,,001,1,practice,90,high,0.8,3,
0.031872333958745,5,-102.0,3.0,-450.18188237993394,0.8149006809848479,149.81811762006606,0.8149006809848479,-101.58440847598678,-0.8471958638030301,,001,1,practice,90,high,0.8,3,
0.03549504210241139,6,-102.0,3.0,-450.2071191762825,0.9279709109751575,149.7928808237175,0.9279709109751575,-101.75984943525648,-0.9425466178049682,,001,1,practice,90,high,0.8,3,
0.04865387501195073,7,-102.0,3.0,-450.22730861336134,1.018427094967405,149.77269138663866,1.018427094967405,-101.90020220267225,-1.0188272210065186,,001,1,practice,90,high,0.8,3,
0.05190108413808048,8,-102.0,3.0,-450.2434601630244,1.0907920421612032,149.75653983697558,1.0907920421612032,-102.01248441660486,-1.079851703567759,,001,1,practice,90,high,0.8,3,
0.06522529199719429,9,-102.0,3.0,-450.25638140275487,1.1486839999162417,149.7436185972451,1.1486839999162417,-102.10231018775096,-1.1286712896167514,,001,1,practice,90,high,0.8,3,
0.06864374992437661,10,-102.0,3.0,-450.2667183945392,1.1949975661202725,149.73328160546075,1.1949975661202725,-102.17417080466784,-1.1677269584559453,,001,1,practice,90,high,0.8,3,
0.08183604199439287,11,-102.0,3.0,-450.2749879879667,1.2320484190834973,149.72501201203326,1.2320484190834973,-102.23165929820134,-1.1989714935273004,,001,1,practice,90,high,0.8,3,
0.0854503340087831,12,-102.0,3.0,-450.28160366270873,1.261689101454077,149.71839633729127,1.261689101454077,-102.27765009302813,-1.2239671215843844,,001,1,practice,90,high,0.8,3,
0.09841479198075831,13,-102.0,3.0,-450.2868962025023,1.2854016473505407,149.71310379749767,1.2854016473505407,-102.31444272888957,-1.2439636240300516,,001,1,practice,90,high,0.8,3,
0.1020829170010984,14,-102.0,3.0,-450.2911302343372,1.3043716840677118,149.7088697656628,1.3043716840677118,-102.34387683757872,-1.2599608259865853,,001,1,practice,90,high,0.8,3,
0.11526412493549287,15,-102.0,3.0,-450.2945174598051,1.3195477134414486,149.7054825401949,1.3195477134414486,-102.36742412453005,-1.2727585875518124,,001,1,practice,90,high,0.8,3,
0.118904875125736,16,-102.0,3.0,-450.29722724017944,1.331688536940438,149.7027727598206,1.331688536940438,-102.3862619540911,-1.282996796803994,,001,1,practice,90,high,0.8,3,
0.1323206671513617,17,-102.0,3.0,-450.2993950644789,1.3414011957396297,149.70060493552114,1.3414011957396297,-102.40133221773995,-1.2911873642057392,,001,1,practice,90,high,0.8,3,
0.1361124999821186,18,-101.0,4.0,-450.3589229467257,1.626046560318952,149.64107705327433,1.626046560318952,-102.58494715322047,-1.0823647706191417,,001,1,practice,90,high,0.8,3,
0.1484357500448823,19,-101.0,4.0,-450.4065452525232,1.8537628519824099,149.5934547474769,1.8537628519824099,-102.73183910160489,-0.9153066957498637,,001,1,practice,90,high,0.8,3,
0.15205466700717807,20,-100.0,5.0,-450.47566195056174,2.3170725615646237,149.52433804943834,2.3170725615646237,-103.01555643099255,-0.5654329006041517,,001,1,practice,90,high,0.8,3,
0.16509349993430078,21,-100.0,5.0,-450.5309553089926,2.687720329230395,149.4690446910075,2.687720329230395,-103.24253029450267,-0.28553386448758217,,001,1,practice,90,high,0.8,3,
0.16866858396679163,22,-99.0,9.0,-450.76538915882884,3.7866251573835084,149.23461084117127,3.7866251573835084,-104.10214921792908,0.25886268720977285,,001,1,practice,90,high,0.8,3,
0.18194258399307728,23,-99.0,9.0,-450.9529362386978,4.6657490199059986,149.0470637613023,4.6657490199059986,-104.78984435667022,0.6943799285676568,,001,1,practice,90,high,0.8,3,
0.18565583415329456,24,-99.0,13.0,-451.12228043836257,6.168815112041844,148.87771956163752,6.168815112041844,-105.98386177481703,1.2027471220775348,,001,1,practice,90,high,0.8,3,
0.1984942089766264,25,-99.0,13.0,-451.25775579809437,7.37126798575052,148.74224420190572,7.37126798575052,-106.93907570933449,1.609440876885437,,001,1,practice,90,high,0.8,3,
0.20201400015503168,26,-100.0,16.0,-451.40953315849913,8.964195176045079,148.59046684150096,8.964195176045079,-108.19192627147231,1.9009888589972825,,001,1,practice,90,high,0.8,3,
0.2151522501371801,27,-100.0,16.0,-451.53095504682295,10.238536928280727,148.46904495317713,10.238536928280727,-109.19420672118257,2.134227244686759,,001,1,practice,90,high,0.8,3,
0.21905183396302164,28,-101.0,17.0,-451.65321592600736,11.539735047397949,148.3467840739927,11.539735047397949,-110.16105575465585,2.217162896704081,,001,1,practice,90,high,0.8,3,
0.23182404204271734,29,-101.0,17.0,-451.7510246293549,12.580693542691726,148.24897537064516,12.580693542691726,-110.93453498143448,2.2835114183179384,,001,1,practice,90,high,0.8,3,
