timestamp,frame,mouse_x,mouse_y,square_x,square_y,dot_x,dot_y,mouse_speed,target_speed,distractor_speed,participant,session,trial_num,phase,angle_bias,expect_level,prop_used,conf_level,agency_rating
0.00016116700135171413,1,-2.0,2.0,149.5043212091995,0.005161680009002899,-150.53668398685787,0.17880240001286124,2.82842712474619,0.49570566527926474,0.5656854249492378,,001,1,practice,90,low,0.3,1,
0.003297041868790984,2,-5.0,9.0,147.67623207505628,0.1662991612093616,-152.41109703563393,0.8032845160133735,7.615773105863909,1.8351771495471976,1.975702961132172,,001,1,practice,90,low,0.3,1,
0.014773624949157238,3,-5.0,9.0,146.2137607677417,0.29520914616964855,-153.91062747465477,1.3028702088137833,0.0,1.4681417196377582,1.5805623689057378,,001,1,practice,90,low,0.3,1,
0.01777379191480577,4,-8.0,19.0,145.83041993950442,-0.24387493840025842,-153.12934294356515,1.0422358022853444,10.440306508910549,0.6614845733879255,0.8236114450311898,,001,1,practice,90,low,0.3,1,
0.03135475004091859,5,-8.0,19.0,145.5237472769146,-0.675142206056184,-152.50431531869344,0.8337282770625933,0.0,0.5291876587103405,0.6588891560249518,,001,1,practice,90,low,0.3,1,
0.034513958962634206,6,-13.0,36.0,141.95572641838638,-0.3970892554944615,-155.29383997373375,1.9855890635793396,17.720045146669353,3.578838678986315,3.0179846044326895,,001,1,practice,90,low,0.3,1,
0.04751745890825987,7,-13.0,36.0,139.10130973156382,-0.17464689504508346,-157.525459697766,2.9070776927927366,0.0,2.8630709431890518,2.4143876835461513,,001,1,practice,90,low,0.3,1,
0.05063591687940061,8,-17.0,50.0,133.9944629774606,0.23412324086209868,-162.14406034077058,4.316863235517283,14.560219778561038,5.123180339779579,4.828971647880887,,001,1,practice,90,low,0.3,1,
0.06407316704280674,9,-17.0,50.0,129.90898557417805,0.5611393495878444,-165.83894085517423,5.444691669696919,0.0,4.0985442718236635,3.8631773183047096,,001,1,practice,90,low,0.3,1,
0.06715912488289177,10,-20.0,56.0,127.21701467182194,0.571097501086488,-167.45711523774008,6.244590509209267,6.708203932499369,2.6919893209136587,1.8050835121527185,,001,1,practice,90,low,0.3,1,
0.08124683401547372,11,-20.0,56.0,125.06343794993707,0.579064022285403,-168.75165474379276,6.884509580819146,0.0,2.153591456730927,1.444066809722175,,001,1,practice,90,low,0.3,1,
0.08433862496167421,12,-22.0,59.0,123.63932105449761,0.6254488666002083,-169.10336565996568,7.625032877186582,3.6055512754639896,1.424872094490665,0.8198020011064242,,001,1,practice,90,low,0.3,1,
0.09756104205735028,13,-22.0,59.0,122.50002753814606,0.6625567420520524,-169.38473439290402,8.217451514280532,0.0,1.139897675592532,0.6558416008851394,,001,1,practice,90,low,0.3,1,
0.1008334590587765,14,-30.0,62.0,122.52526849614944,0.6410031411547022,-168.01457827770523,9.303900850728796,8.54400374531753,0.03319131923516662,1.7486280166706512,,001,1,practice,90,low,0.3,1,
0.11408579186536372,15,-30.0,62.0,122.54546126255214,0.6237602604368221,-166.9184533855462,10.173060319887409,0.0,0.0265530553881333,1.398902413336521,,001,1,practice,90,low,0.3,1,
0.11727649997919798,16,-40.0,63.0,123.78841969359922,0.5789430245837609,-164.2032617319262,11.68121227910179,10.04987562112089,1.2437661540420504,3.105927888404653,,001,1,practice,90,low,0.3,1,
0.13081112504005432,17,-40.0,63.0,124.7827864384369,0.543089235901312,-162.03110840903022,12.887733846473292,0.0,0.9950129232336403,2.4847423107237225,,001,1,practice,90,low,0.3,1,
0.13400808395817876,18,-57.0,63.0,127.95678671236641,-0.5898851411264994,-156.8955187820572,13.732534891682135,17.0,3.3701496521528704,5.204610419873795,,001,1,practice,90,low,0.3,1,
0.1475558748934418,19,-57.0,63.0,130.49598693151,-1.4962646427487485,-152.78704708047877,14.40837572784921,0.0,2.6961197217222965,4.163688335899035,,001,1,practice,90,low,0.3,1,
0.1509934589266777,20,-89.0,62.0,130.08176912231824,-7.857828786492213,-153.07966683993982,9.639819050431917,32.01562118716424,6.375035274287834,4.777526463492181,,001,1,practice,90,low,0.3,1,
0.16494100005365908,21,-89.0,62.0,129.75039487496483,-12.947080101486986,-153.31376264750867,5.824973708498083,0.0,5.100028219430268,3.8220211707937444,,001,1,practice,90,low,0.3,1,
0.18305112491361797,22,-116.0,59.0,125.86512737076905,-18.791851175850763,-158.92985087401095,2.5539974029967873,27.16615541441225,7.018308378154895,6.499210179630171,,001,1,practice,90,low,0.3,1,
0.1979541250038892,23,-140.0,56.0,119.84223298574284,-23.533276047839887,-167.84369342902647,1.9006334835984577,24.186773244895647,7.665270157658977,8.937755507216396,,001,1,practice,90,low,0.3,1,
0.2010505839716643,24,-167.0,54.0,113.27125206713181,-25.650976026394652,-177.65000377388185,6.08571366098913,27.073972741361768,6.903799202752142,10.662017570366581,,001,1,practice,90,low,0.3,1,
0.21418562508188188,25,-167.0,54.0,108.01446733224299,-27.345136009238463,-185.49505204976614,9.433777802901668,0.0,5.523039362201714,8.529614056293266,,001,1,practice,90,low,0.3,1,
0.21740458393469453,26,-186.0,52.0,106.60373578876792,-29.840463995513513,-187.95009603556502,12.112229116431699,19.1049731745428,2.8665005227355262,3.633365163475586,,001,1,practice,90,low,0.3,1,
0.23102441686205566,27,-186.0,52.0,105.47515055398786,-31.836726384533552,-189.9141312242041,14.254990167255723,0.0,2.293200418188421,2.9066921307804687,,001,1,practice,90,low,0.3,1,
