timestamp,frame,mouse_x,mouse_y,square_x,square_y,dot_x,dot_y,cluster_id,participant,session,trial_num,phase,angle_bias,expect_level,prop_used,conf_level,agency_rating
0.00024087494239211082,1,-724.0,-450.0,150.63884648161564,-0.4815341866652121,-150.48012793786168,-0.5059037195537252,0,,001,1,practice,0,low,0.3,1,
0.004145459039136767,2,-782.0,-451.0,159.99472906262503,-8.374718482590628,-157.8266028657987,-8.307320857450405,0,,001,1,practice,0,low,0.3,1,
0.007388875121250749,3,-782.0,-451.0,167.4794351274325,-14.689265919330962,-163.7037828081483,-14.548454567767749,0,,001,1,practice,0,low,0.3,1,
0.021413292037323117,4,-782.0,-451.0,173.46719997927852,-19.74090386872323,-168.405526762028,-19.541361536021626,0,,001,1,practice,0,low,0.3,1,
0.024781000101938844,5,-798.0,-458.0,181.3203586273641,-25.461010554454383,-173.20280724318457,-26.399504087917425,0,,001,1,practice,0,low,0.3,1,
0.0387275000102818,6,-798.0,-458.0,187.60288554583255,-30.037095903039305,-177.04063162810982,-31.886018129434063,0,,001,1,practice,0,low,0.3,1,
0.04211074998602271,7,-813.0,-466.0,195.6315787463655,-35.29294470456351,-179.4108819743568,-38.51715180205775,0,,001,1,practice,0,low,0.3,1,
0.05547845899127424,8,-819.0,-470.0,203.32880446532573,-40.173073976761295,-180.92328727343343,-44.744677983087584,0,,001,1,practice,0,low,0.3,1,
0.058529875008389354,9,-824.0,-475.0,210.74763434113297,-44.717298212301394,-181.69548594383326,-50.686820875015194,0,,001,1,practice,0,low,0.3,1,
0.07147995894774795,10,-826.0,-477.0,217.18331154347135,-48.61609043673137,-182.14908238764733,-55.83630987530878,0,,001,1,practice,0,low,0.3,1,
0.07459758408367634,11,-833.0,-485.0,224.20460894953226,-52.741497058294506,-181.88669908949305,-61.49525492811822,0,,001,1,practice,0,low,0.3,1,
0.08812570897862315,12,-835.0,-487.0,230.31790941800216,-56.31334305051807,-181.51669016787486,-66.42230864989365,0,,001,1,practice,0,low,0.3,1,
0.09139508404769003,13,-840.0,-495.0,236.8479126930433,-60.104891191268855,-180.54828868407722,-71.73773528955495,0,,001,1,practice,0,low,0.3,1,
0.10566741693764925,14,-841.0,-500.0,241.833892323394,-63.37482563066404,-179.2884099215903,-76.7509488373004,0,,001,1,practice,0,low,0.3,1,
0.10912512498907745,15,-845.0,-510.0,241.29225077419287,-65.4068017588692,-177.32065393999935,-82.27472986298879,0,,001,1,practice,0,low,0.3,1,
0.12224104208871722,16,-845.0,-510.0,240.8572410207051,-66.99096541992803,-175.74644915472658,-86.69375468353951,0,,001,1,practice,0,low,0.3,1,
0.12533666705712676,17,-847.0,-516.0,240.4006469858151,-68.61143438816521,-173.83418081448778,-91.02096830764141,0,,001,1,practice,0,low,0.3,1,
0.13899841695092618,18,-848.0,-523.0,239.9116041721109,-70.30236257455626,-171.46435719457824,-95.31503023766047,0,,001,1,practice,0,low,0.3,1,
0.14261145913042128,19,-851.0,-531.0,239.36787431490484,-72.13196757308052,-168.61554886277045,-99.61397963278182,0,,001,1,practice,0,low,0.3,1,
0.15574700012803078,20,-851.0,-531.0,238.93210508216737,-73.56255270859023,-166.33650219732422,-103.05313914887891,0,,001,1,practice,0,low,0.3,1,
0.15873862500302494,21,-854.0,-540.0,238.426792491321,-75.18420460642348,-163.4001421129278,-106.64750726756061,0,,001,1,practice,0,low,0.3,1,
0.1714451250154525,22,-858.0,-546.0,237.91082161712868,-76.80130830567126,-160.30493219650484,-110.0992509222975,0,,001,1,practice,0,low,0.3,1,
0.17528041708283126,23,-861.0,-551.0,237.4158738438753,-78.31795992586305,-157.21107958372122,-113.33413691749779,0,,001,1,practice,0,low,0.3,1,
0.18821562500670552,24,-864.0,-555.0,236.95842132055367,-79.69132051403699,-154.23270092262675,-116.31405162222946,0,,001,1,practice,0,low,0.3,1,
0.19164600013755262,25,-868.0,-559.0,236.53519844178675,-80.93886518913261,-151.32065948912495,-119.12591493019899,0,,001,1,practice,0,low,0.3,1,
0.2064064999576658,26,-873.0,-563.0,236.14292349082663,-82.0763040420656,-148.42917712356615,-121.86201442501142,0,,001,1,practice,0,low,0.3,1,
0.2099088339600712,27,-884.0,-571.0,235.74904956184696,-83.20087517980708,-144.97981196240457,-125.16314399882901,0,,001,1,practice,0,low,0.3,1,
0.22298304201103747,28,-884.0,-571.0,235.43757978980264,-84.0782137222259,-142.2203198334753,-127.80404765788309,0,,001,1,practice,0,low,0.3,1,
0.22627700003795326,29,-895.0,-575.0,235.1758069675501,-84.80766366998687,-139.19965462481187,-130.87458695414074,0,,001,1,practice,0,low,0.3,1,
0.23905512504279613,30,-895.0,-575.0,234.96948238254961,-85.377645486841,-136.78312245788112,-133.33101839114687,0,,001,1,practice,0,low,0.3,1,
0.24240687512792647,31,-909.0,-577.0,234.81868939934648,-85.79150953779299,-133.8424517062593,-136.12816558090452,0,,001,1,practice,0,low,0.3,1,
0.2557597919367254,32,-909.0,-577.0,234.70033458841274,-86.114766121073,-131.48991510496188,-138.36588333271064,0,,001,1,practice,0,low,0.3,1,
0.2588698340114206,33,-927.0,-577.0,234.64935436728592,-86.25358250540016,-128.22592141475036,-140.6937667938514,0,,001,1,practice,0,low,0.3,1,
0.2724745839368552,34,-927.0,-577.0,234.6095719593533,-86.36173194794691,-125.61472646258115,-142.55607356276403,0,,001,1,practice,0,low,0.3,1,
0.27549870894290507,35,-942.0,-575.0,234.61329336589117,-86.35162173352782,-122.34152324207528,-144.30580496645868,0,,001,1,practice,0,low,0.3,1,
