timestamp,frame,mouse_x,mouse_y,square_x,square_y,dot_x,dot_y,shared_dx,shared_dy,distractor_noise_x,distractor_noise_y,participant,session,trial_num,phase,angle_bias,expect_level,prop_used,conf_level,agency_rating
0.00016120797954499722,1,2.0,0.0,-149.88,0.0,150.26579535198556,-0.03677272025826536,0.6,0.0,0.7289767599277807,-0.18386360129132687,,001,1,practice,0,low,0.3,2,
0.011404416058212519,2,2.0,0.0,-149.784,0.0,150.76431823508895,-0.37881078882160757,0.0,0.0,1.4294330075746853,-1.56309946178365,,001,1,practice,0,low,0.3,2,
0.014771583024412394,3,5.0,0.0,-149.76362423170394,-0.34713625950510785,151.36295877854496,-1.3775690813863108,-0.28212115851974295,-1.7356812975255396,1.2812323433863084,-1.8899578910446078,,001,1,practice,0,low,0.3,2,
0.028061915887519717,4,5.0,0.0,-149.7473236170671,-0.6248452671091942,152.2925909550935,-1.9521158372402405,0.0,0.0,2.253598708918523,1.1222993909891643,,001,1,practice,0,low,0.3,2,
0.03096274985000491,5,9.0,0.0,-149.72830202698185,-1.3557709165450929,153.1998414825972,-2.918328524902855,0.029905491878871038,-2.5437922167631486,0.7878184394456021,0.010915801865793249,,001,1,practice,0,low,0.3,2,
0.045225540874525905,6,9.0,0.0,-149.71308475491367,-1.9405114360938118,154.45368642823365,-3.8617760749210386,0.0,0.0,2.640222618167337,-0.8523869994404585,,001,1,practice,0,low,0.3,2,
0.04801741591654718,7,12.0,0.0,-149.40378448682412,-2.8116416687156507,156.34675471963337,-4.68051431702682,1.4856322521748977,-2.01668908491432,2.9643294222778955,1.6967880744581443,,001,1,practice,0,low,0.3,2,
0.06171587505377829,8,12.0,0.0,-149.1563442723525,-3.508545854813122,157.55935106956994,-5.274111795566943,0.0,0.0,-1.509291415915984,0.30696557572251465,,001,1,practice,0,low,0.3,2,
0.06467520794831216,9,16.0,1.0,-148.8094917640937,-3.436068456899259,158.87373434074166,-5.023483010487964,0.7445016834074907,3.150003733959201,0.9770292727048199,0.47753010559618986,,001,1,practice,0,low,0.3,2,
0.07804633304476738,10,16.0,1.0,-148.53200975748666,-3.3780865385681684,160.0464248234288,-5.018341192374873,0.0,0.0,0.6059193287488168,-0.9768060497504647,,001,1,practice,0,low,0.3,2,
0.08134462498128414,11,19.0,5.0,-148.7076561339459,-2.696300834877671,160.7130661073199,-4.283224293162919,-1.988159908724353,3.1770008451281275,0.630604397431279,0.47801637847927614,,001,1,practice,0,low,0.3,2,
0.09463970805518329,12,19.0,5.0,-148.84817323511328,-2.1508722719252726,161.4795702818407,-3.7673845063913287,0.0,0.0,1.1659557370397005,-0.36126866298985977,,001,1,practice,0,low,0.3,2,
0.09727624990046024,13,22.0,11.0,-149.585602302091,-1.8382134384925435,161.419924582719,-3.299122102964037,-3.125076930218985,-0.6184200846459471,-0.2391682634727646,0.8963729546960437,,001,1,practice,0,low,0.3,2,
0.11116387485526502,14,22.0,11.0,-150.17554555567315,-1.58808637174636,160.8642137721593,-2.7083324685511183,0.0,0.0,-2.539971256311726,1.0808985583554265,,001,1,practice,0,low,0.3,2,
0.11385262501426041,15,25.0,26.0,-151.85613796873378,-2.1183481846038483,159.12011421290782,-2.7642145957502335,-6.0431890509743855,-3.6518173312721753,-0.4544655030442408,1.0092481576249237,,001,1,practice,0,low,0.3,2,
0.1278821248561144,16,25.0,26.0,-153.20061189918226,-2.542557634889839,157.7006611867239,-2.83203197245915,0.0,0.0,-0.12086689391368517,-0.11555837474812178,,001,1,practice,0,low,0.3,2,
0.13042387505993247,17,26.0,45.0,-156.60621220435087,-2.9179349105892376,154.25600983048733,-2.896942172098223,-11.650105804049124,-0.18004857735303048,0.10466112760200659,0.12676708599333034,,001,1,practice,0,low,0.3,2,
0.14459591591730714,18,26.0,45.0,-159.33069244848576,-3.2182367311487567,151.71496107530663,-3.0833823022793636,0.0,0.0,1.0733616490427946,-0.67255985234941,,001,1,practice,0,low,0.3,2,
0.1474555409513414,19,24.0,54.0,-162.7013584922922,-3.6387445784664463,148.57658821718584,-3.3735120933675433,-5.955409242492578,-0.9013319543503724,0.4277399726113796,0.19644351963403667,,001,1,practice,0,low,0.3,2,
0.16130149993114173,20,24.0,54.0,-165.39789132733733,-3.9751508563205977,146.51273057708474,-3.4424922277268877,0.0,0.0,2.2342032319776686,0.8156184925559973,,001,1,practice,0,low,0.3,2,
0.1643152078613639,21,17.0,62.0,-167.67884978528377,-2.305843369125106,144.47990705696472,-1.3706076744450622,-0.6186609495516382,9.692162547394068,-1.2900260906440701,0.9431807564524393,,001,1,practice,0,low,0.3,2,
0.17782783298753202,22,17.0,62.0,-169.50361655164093,-0.9703973793687124,142.7470743791193,0.06003222571811406,0.0,0.0,-0.5328693087469689,-1.134338712311422,,001,1,practice,0,low,0.3,2,
0.18026112485677004,23,4.0,66.0,-172.5000825724371,2.085379462465867,140.1778750669012,3.431078967729892,-7.683263038552241,9.937100250147324,1.7685971888433536,1.1955738592588647,,001,1,practice,0,low,0.3,2,
0.1945928749628365,24,4.0,66.0,-174.89725538907402,4.530000935933531,137.75998829011928,6.088396608572878,0.0,0.0,-1.8126366350371697,-0.1975987638321856,,001,1,practice,0,low,0.3,2,
0.19773637503385544,25,-14.0,69.0,-178.59415225994206,9.12292769850599,134.12525789341572,11.222627696294143,-8.895793087792416,13.186147918991642,0.39368821140228927,1.8557369562427457,,001,1,practice,0,low,0.3,2,
