snippet_id,phase,angle_bias,expect_level,mode,true_shape,resp_shape,conf_level,accuracy,control_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
6,practice,0,high,true,square,square,1,1,1.0,0.8,999,001,green,blue,
2,practice,0,low,true,dot,dot,3,1,3.0,0.5,999,001,green,blue,
0,practice,90,high,true,dot,square,1,0,9.0,0.8,999,001,green,blue,
2,practice,0,high,true,dot,dot,3,1,0.0,0.75,999,001,green,blue,
0,practice,90,low,true,square,square,1,1,1.0,0.5,999,001,green,blue,
6,,,,,,,,,,,,,,,
