isPractice,frame,x,y,Participant,StudyID,SessionID
1,127,277.8671875,110.09375,anonymous,na,na
1,128,277.8671875,110.09375,anonymous,na,na
1,129,277.8671875,110.09375,anonymous,na,na
1,130,277.8671875,110.09375,anonymous,na,na
1,131,277.8671875,110.09375,anonymous,na,na
1,132,277.8671875,110.09375,anonymous,na,na
1,133,277.8671875,110.09375,anonymous,na,na
1,134,277.8671875,110.09375,anonymous,na,na
1,135,277.2773438,110.09375,anonymous,na,na
1,136,277.1796875,110.09375,anonymous,na,na
1,137,277.1757813,110.09375,anonymous,na,na
1,138,277.078125,110.09375,anonymous,na,na
1,139,276.65625,110.1640625,anonymous,na,na
1,140,275.6914063,110.453125,anonymous,na,na
1,141,273.71875,110.8828125,anonymous,na,na
1,142,267.4375,111.8320313,anonymous,na,na
1,143,238.1796875,114.2382813,anonymous,na,na
1,144,162.1367188,115.0625,anonymous,na,na
1,145,99.46875,114.3515625,anonymous,na,na
1,146,25.25,108.7695313,anonymous,na,na
1,147,-13.83203125,106.0234375,anonymous,na,na
1,148,-46.90625,102.3632813,anonymous,na,na
1,149,-76.34765625,96.71484375,anonymous,na,na
1,150,-87.59765625,92.69921875,anonymous,na,na
1,151,-92.640625,88.12890625,anonymous,na,na
1,152,-94.37109375,85.23828125,anonymous,na,na
1,153,-94.4609375,83.2734375,anonymous,na,na
1,154,-93.4140625,79.2578125,anonymous,na,na
1,155,-91.52734375,75.42578125,anonymous,na,na
1,156,-86.7109375,69.7421875,anonymous,na,na
1,157,-79.625,63.91796875,anonymous,na,na
1,158,-73.42578125,60.2421875,anonymous,na,na
1,159,-70.82421875,58.796875,anonymous,na,na
1,160,-70.82421875,58.796875,anonymous,na,na
1,161,-71.35546875,59.328125,anonymous,na,na
1,162,-72.08203125,61.16015625,anonymous,na,na
1,163,-72.19140625,61.484375,anonymous,na,na
1,164,-72.19140625,61.484375,anonymous,na,na
1,165,-72.19140625,61.484375,anonymous,na,na
1,166,-72.19140625,61.484375,anonymous,na,na
1,167,-72.19140625,61.484375,anonymous,na,na
1,168,-72.19140625,61.484375,anonymous,na,na
1,169,-72.19140625,61.484375,anonymous,na,na
1,170,-72.19140625,61.484375,anonymous,na,na
1,171,-72.19140625,61.484375,anonymous,na,na
1,172,-72.19140625,61.484375,anonymous,na,na
1,173,-72.125,61.03125,anonymous,na,na
1,174,-69.8671875,61.24609375,anonymous,na,na
1,175,-62.77734375,62.59765625,anonymous,na,na
1,176,-56.125,64.58984375,anonymous,na,na
1,177,-52.0859375,66.5625,anonymous,na,na
1,178,-50.98828125,67.08984375,anonymous,na,na
1,179,-50.98828125,67.08984375,anonymous,na,na
1,180,-160.515625,0.20703125,anonymous,na,na
1,181,-160.2539063,4.0546875,anonymous,na,na
1,182,-159.5859375,7.60546875,anonymous,na,na
1,183,-158.6132813,12.66796875,anonymous,na,na
1,184,-152.4101563,25.2265625,anonymous,na,na
1,185,-142.3476563,39.8125,anonymous,na,na
1,186,-120.2421875,57.8828125,anonymous,na,na
1,187,-57.53515625,84.5625,anonymous,na,na
1,188,25.1953125,106.2460938,anonymous,na,na
1,189,123.171875,120.4257813,anonymous,na,na
1,190,196.4765625,125.5234375,anonymous,na,na
1,191,223.765625,125.0585938,anonymous,na,na
1,192,268.7148438,118.2070313,anonymous,na,na
1,193,299.21875,109.515625,anonymous,na,na
1,194,323.140625,100.390625,anonymous,na,na
1,195,351.296875,84.43359375,anonymous,na,na
1,196,372.9726563,63.8046875,anonymous,na,na
1,197,394.2421875,26.953125,anonymous,na,na
1,198,406.578125,-8.015625,anonymous,na,na
1,199,409.7304688,-42,anonymous,na,na
1,200,406.4296875,-56.44140625,anonymous,na,na
1,201,394.890625,-65.43359375,anonymous,na,na
1,202,362.6367188,-78.734375,anonymous,na,na
1,203,318.7382813,-86.0390625,anonymous,na,na
1,204,245.2578125,-89.71875,anonymous,na,na
1,205,131.890625,-89.43359375,anonymous,na,na
1,206,35.87109375,-82.609375,anonymous,na,na
1,207,-100.8554688,-55.33203125,anonymous,na,na
1,208,-227.3476563,-20.60546875,anonymous,na,na
1,209,-281.9296875,1.01953125,anonymous,na,na
1,210,-317.8789063,17.46875,anonymous,na,na
1,211,-318.1054688,17.625,anonymous,na,na
1,212,-315.734375,20.72265625,anonymous,na,na
1,213,-302.2265625,34.625,anonymous,na,na
1,214,-264.1953125,62.70703125,anonymous,na,na
1,215,-195.3515625,101.7460938,anonymous,na,na
1,216,-132.1796875,127.5390625,anonymous,na,na
1,217,-51.2734375,145.5664063,anonymous,na,na
1,218,20.65234375,153.8554688,anonymous,na,na
1,219,50.87890625,156.203125,anonymous,na,na
1,220,97.26171875,156.3945313,anonymous,na,na
1,221,123.3554688,154.421875,anonymous,na,na
1,222,145.0976563,149.2070313,anonymous,na,na
1,223,167.671875,138.5546875,anonymous,na,na
1,224,184.578125,124.1992188,anonymous,na,na
1,225,202.3984375,100.578125,anonymous,na,na
1,226,219.6171875,70.1015625,anonymous,na,na
1,227,227.765625,49.80078125,anonymous,na,na
1,228,232.8242188,21.59375,anonymous,na,na
1,229,231.2617188,4.13671875,anonymous,na,na
1,230,224.0234375,-6.41796875,anonymous,na,na
1,231,204.0390625,-18.65625,anonymous,na,na
1,232,161.4960938,-31.2421875,anonymous,na,na
1,233,93.80078125,-42.12890625,anonymous,na,na
1,234,18.4375,-49.09765625,anonymous,na,na
1,235,-100.4960938,-53.5859375,anonymous,na,na
1,236,-210.71875,-51.81640625,anonymous,na,na
1,237,-274.3828125,-39.8125,anonymous,na,na
1,238,-351.9296875,-11.21484375,anonymous,na,na
1,239,-399.25,14.8203125,anonymous,na,na
1,240,-419.0195313,30.58984375,anonymous,na,na
1,241,-428.421875,42.4140625,anonymous,na,na
1,242,-428.53125,51.2109375,anonymous,na,na
1,243,-421.84375,66.7109375,anonymous,na,na
1,244,-411.9296875,82.51953125,anonymous,na,na
1,245,-399.9960938,93.24609375,anonymous,na,na
1,246,-351.9023438,111.0429688,anonymous,na,na
1,247,-284.4179688,121.1914063,anonymous,na,na
1,248,-181.8515625,127.8476563,anonymous,na,na
1,249,-92.30078125,129.1992188,anonymous,na,na
1,250,-3.51171875,123.0976563,anonymous,na,na
1,251,94.77734375,109.9335938,anonymous,na,na
1,252,150.3359375,98.6640625,anonymous,na,na
1,253,203.9101563,83.92578125,anonymous,na,na
1,254,234.8164063,71.765625,anonymous,na,na
1,255,245.9726563,64.26953125,anonymous,na,na
1,256,261.2070313,45.6796875,anonymous,na,na
1,257,271.5976563,27.50390625,anonymous,na,na
1,258,276.734375,14.796875,anonymous,na,na
1,259,279.8046875,-0.3671875,anonymous,na,na
1,260,277.2890625,-8.08984375,anonymous,na,na
