device_type,Participant,isPractice,frame,x,y,practiceTrial,propBefore,practiceCorr,stair_converged,stair_finalProp,personalMinMove,final_score,correct_above_60,bonus_usd,participant_id
mouse,68348cbcb4102122787fdbd0,,,,,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,0,-2.33203125,27.515625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,1,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,2,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,3,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,4,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,5,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,6,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,7,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,8,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,9,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,10,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,11,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,12,-3.32421875,27.3203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,13,-3.40234375,27.6953125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,14,-3.578125,29.46875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,15,-4.44140625,34.3828125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,16,-8.78125,45.42578125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,17,-25.55859375,66.24609375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,18,-75.6171875,101.4960938,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,19,-137.1796875,132.8828125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,20,-184.703125,149.1289063,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,21,-205.0195313,152.4765625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,22,-226.7890625,153.9375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,23,-237.4257813,154.0820313,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,24,-248.1210938,153.5390625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,25,-258.40625,151.7421875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,26,-264.9570313,149.1445313,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,27,-273.1132813,142.4960938,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,28,-280.40625,133.3242188,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,29,-285.5859375,123.3242188,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,30,-293.625,103.7539063,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,31,-300.359375,81.14453125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,32,-302.9570313,55.0234375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,33,-299.7578125,27.9140625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,34,-291.5078125,9.04296875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,35,-268.0585938,-16.7734375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,36,-233.7226563,-39.375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,37,-168.1914063,-62.57421875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,38,-98.90625,-78.57421875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,39,-21.71484375,-92.1484375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,40,28.34375,-95.19140625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,41,69.68359375,-93.47265625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,42,114.9140625,-85.15625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,43,148.3164063,-70.9453125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,44,194.40625,-36.83984375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,45,231.7109375,-2.5859375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,46,247.8828125,14.6640625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,47,265.6367188,36.30859375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,48,273.0429688,45.88671875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,49,279.8476563,54.80078125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,50,285.7851563,65.22265625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,51,286.3085938,69.5234375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,52,280.8828125,75.29296875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,53,263.9179688,82.4765625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,54,228.2539063,89.3046875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,55,184.5664063,94.99609375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,56,82.88671875,102.1601563,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,57,-0.13671875,105.8476563,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,58,-97.0625,106.7148438,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,59,-210.3945313,106.2539063,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,60,-274.5546875,105.3515625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,61,-328.4960938,102.7617188,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,62,-357.4101563,101.1640625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,63,-366.796875,100.453125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,64,-377.5039063,98.38671875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,65,-380.1875,97.46875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,66,-380.9375,96.91015625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,67,-382.0429688,95.58984375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,68,-382.1054688,94.35546875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,69,-380.6953125,92.19140625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,70,-374.2539063,85.296875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,71,-361.1914063,75.4453125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,72,-328.0664063,55.5859375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,73,-266.4296875,21.62109375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,74,-139.7226563,-37.66015625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,75,-28.52734375,-82.55859375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,76,135.828125,-142.421875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,77,250.3085938,-179.1445313,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,78,334.4179688,-199.921875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,79,396.5351563,-210.8007813,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,80,420.2265625,-213.0195313,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,81,446.03125,-213.0273438,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,82,457.2070313,-212.5742188,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,83,461.5195313,-212.2460938,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,84,467.0390625,-211.7148438,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,85,469.4257813,-211.4921875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,86,469.7421875,-211.4453125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,87,469.7421875,-211.4453125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,88,468.8554688,-211.2226563,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,89,461.75,-209.578125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,90,435.8476563,-205.3242188,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,91,384.546875,-202.1757813,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,92,308.4960938,-203.9921875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,93,170.546875,-208.7460938,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,94,40.26953125,-212.4414063,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,95,-91.875,-215.515625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,96,-206.59375,-216.5820313,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,97,-281.2890625,-216.2695313,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,98,-348.09375,-213.6445313,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,99,-378.6367188,-211.015625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,100,-391.1367188,-208.6835938,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,101,-406.8984375,-204.5820313,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,102,-419.2617188,-201.3671875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,103,-429.7578125,-198.7265625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,104,-439.9296875,-196.0585938,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,105,-443.8671875,-194.90625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,106,-444.5859375,-194.7265625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,107,-444.640625,-194.7109375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,108,-444.125,-194.1914063,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,109,-441.078125,-191.9648438,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,110,-433.6679688,-188.1328125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,111,-422.6445313,-183.0976563,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,112,-405.4257813,-176.203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,113,-370.6210938,-162.7382813,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,114,-331.7265625,-148.4960938,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,115,-255.3828125,-126.3984375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,116,-155.6953125,-102.0859375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,117,-73.140625,-88.3671875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,118,25.171875,-79.63671875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,119,119.609375,-75.796875,,,,,,,,,,
