isPractice,frame,x,y,donor
1,0,-61.0703125,-33.51953125,666
1,1,-61.0703125,-25.3515625,666
1,2,-60.76171875,-11.3203125,666
1,3,-58.20703125,8.16015625,666
1,4,-51.84375,54.77734375,666
1,5,-47.37890625,104.2070313,666
1,6,-45.84765625,150,666
1,7,-45.34375,173.5390625,666
1,8,-45.32421875,176.6757813,666
1,9,-47.33203125,181.1445313,666
1,10,-52.84375,185.1171875,666
1,11,-58.34765625,186.6757813,666
1,12,-64.16796875,187.6484375,666
1,13,-79.55078125,188.6054688,666
1,14,-99.984375,188.328125,666
1,15,-135.2070313,186.2695313,666
1,16,-159.5429688,183.890625,666
1,17,-187.1875,180.4257813,666
1,18,-207.9179688,175.96875,666
1,19,-235.3203125,165.2382813,666
1,20,-278.7578125,139.8710938,666
1,21,-319.09375,106.6679688,666
1,22,-344.7265625,67.42578125,666
1,23,-362.359375,3.66796875,666
1,24,-358.9960938,-48.26953125,666
1,25,-338.4140625,-105.75,666
1,26,-318.5195313,-148.8125,666
1,27,-303.8398438,-170.078125,666
1,28,-246.3359375,-207.40625,666
1,29,-175.5507813,-236.0742188,666
1,30,-97.12109375,-251.8554688,666
1,31,22.88671875,-259.1328125,666
1,32,134.4609375,-257.84375,666
1,33,245.0664063,-249.1601563,666
1,34,348.3984375,-231.4726563,666
1,35,389.8320313,-216.0625,666
1,36,434.890625,-182.015625,666
1,37,467.5234375,-135.7734375,666
1,38,476.5039063,-109.0273438,666
1,39,475.6914063,-88.49609375,666
1,40,462.1445313,-76.67578125,666
1,41,428.609375,-59.77734375,666
1,42,367.8554688,-33.4921875,666
1,43,307.7304688,-11.703125,666
1,44,219.0664063,12.13671875,666
1,45,127.6328125,27.4921875,666
1,46,71.53125,31.47265625,666
1,47,-12.2421875,31.19921875,666
1,48,-68.97265625,26.63671875,666
1,49,-112.0820313,18.11328125,666
1,50,-165.0234375,2.953125,666
1,51,-203.25,-10.95703125,666
1,52,-240.1875,-29.9921875,666
1,53,-275.0625,-52.37109375,666
1,54,-290.7734375,-63.02734375,666
1,55,-312.1367188,-76.5546875,666
1,56,-320.9101563,-80.83203125,666
1,57,-321.1679688,-80.9375,666
1,58,-321.1679688,-80.9375,666
1,59,-321.1679688,-80.9375,666
1,60,-316.8710938,-80.578125,666
1,61,-293.9023438,-80.01953125,666
1,62,-252.9609375,-78.94921875,666
1,63,-153.9023438,-74.75390625,666
1,64,-47.57421875,-72.015625,666
1,65,42,-67.3828125,666
1,66,154.8476563,-55.5546875,666
1,67,248.625,-38.15625,666
1,68,327.0117188,-18.48828125,666
1,69,383.234375,-0.98046875,666
1,70,403.609375,7.05078125,666
1,71,414.28125,10.71875,666
1,72,420.1757813,12.67578125,666
1,73,421.765625,13.08203125,666
1,74,421.765625,13.08203125,666
1,75,421.765625,13.08203125,666
1,76,421.625,13.02734375,666
1,77,420.171875,12.32421875,666
1,78,418.0195313,11.03125,666
1,79,417.1601563,10.171875,666
1,80,416.859375,9.78125,666
1,81,416.8046875,9.7421875,666
1,82,416.8046875,9.7421875,666
1,83,416.75,9.7421875,666
1,84,416.6171875,9.7421875,666
1,85,416.28125,9.7421875,666
1,86,414.5703125,9.7421875,666
1,87,413.8359375,9.6328125,666
1,88,413.6601563,9.57421875,666
1,89,413.6523438,9.54296875,666
1,90,413.6523438,9.5390625,666
1,91,413.6523438,9.5390625,666
1,92,413.6523438,9.50390625,666
1,93,413.6171875,9.29296875,666
1,94,413.515625,8.75390625,666
1,95,413.3867188,7.921875,666
1,96,413.015625,7.00390625,666
1,97,412.8515625,6.72265625,666
1,98,412.8046875,6.6796875,666
1,99,412.796875,6.67578125,666
1,100,412.796875,6.67578125,666
1,101,412.796875,6.67578125,666
1,102,412.796875,6.67578125,666
1,103,412.796875,6.67578125,666
1,104,412.296875,6.578125,666
1,105,411.921875,6.48828125,666
1,106,411.3789063,6.18359375,666
1,107,410.7070313,5.8359375,666
1,108,410.3554688,5.73046875,666
1,109,410.234375,5.66796875,666
1,110,410.171875,5.609375,666
1,111,410.171875,5.609375,666
1,112,410.171875,5.609375,666
1,113,410.171875,5.609375,666
1,114,410.171875,5.609375,666
1,115,410.171875,5.609375,666
1,116,410.171875,5.609375,666
1,117,410.171875,5.609375,666
1,118,410.171875,5.609375,666
1,119,410.171875,5.609375,666
1,120,410.171875,5.609375,666
1,121,410.171875,5.609375,666
1,122,410.171875,5.609375,666
1,123,410.171875,5.609375,666
1,124,410.171875,5.609375,666
1,125,410.171875,5.609375,666
1,126,410.171875,5.609375,666
1,127,410.171875,5.609375,666
1,128,410.171875,5.609375,666
1,129,410.171875,5.609375,666
1,130,410.171875,5.609375,666
1,131,410.171875,5.609375,666
1,132,410.171875,5.609375,666
1,133,410.171875,5.609375,666
1,134,410.171875,5.609375,666
1,135,410.3359375,5.765625,666
1,136,410.546875,5.875,666
1,137,410.546875,5.875,666
1,138,410.546875,5.875,666
1,139,410.546875,5.875,666
1,140,410.546875,5.875,666
1,141,410.546875,5.875,666
1,142,410.546875,5.875,666
1,143,410.546875,5.875,666
1,144,410.546875,5.875,666
1,145,410.546875,5.875,666
