device_type,Participant,isPractice,frame,x,y,practiceTrial,propBefore,practiceCorr,stair_converged,stair_finalProp,personalMinMove,final_score,correct_above_60,bonus_usd,participant_id
mouse,68348cbcb4102122787fdbd0,,,,,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,0,-676.9453125,-81.5859375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,1,-670.8984375,-81.5859375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,2,-663.859375,-81.7890625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,3,-650.7421875,-81.83203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,4,-627.3085938,-81.83203125,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,5,-608.0351563,-82.12890625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,6,-592.4921875,-82.7890625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,7,-580.0351563,-82.7890625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,8,-569.90625,-82.7890625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,9,-562.0546875,-82.9140625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,10,-550.7734375,-82.984375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,11,-541.6484375,-82.984375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,12,-533.5820313,-82.984375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,13,-526.9296875,-82.984375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,14,-515.5390625,-82.984375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,15,-496.2773438,-82.984375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,16,-470.2382813,-82.984375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,17,-440.5820313,-82.984375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,18,-415.7304688,-82.71875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,19,-393.9726563,-82.62890625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,20,-364.546875,-82.62890625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,21,-338.25,-82.62890625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,22,-279.7070313,-82.00390625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,23,-232.7382813,-81.88671875,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,24,-187.0273438,-81.15625,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,25,-151.875,-79.77734375,,,,,,,,,,
,68348cbcb4102122787fdbd0,1,26,-123.0039063,-77.3984375,,,,,,,,,,
