isPractice,frame,x,y,donor
1,0,-134.7421875,-153.2265625,simon1996
1,1,-132.0664063,-152.3867188,simon1996
1,2,-130.9101563,-151.9375,simon1996
1,3,-130.3789063,-151.765625,simon1996
1,4,-129.9375,-151.6796875,simon1996
1,5,-129.5585938,-151.6132813,simon1996
1,6,-126.8632813,-150.3710938,simon1996
1,7,-114.9335938,-139.3671875,simon1996
1,8,-95.26953125,-113.078125,simon1996
1,9,-70.40234375,-60.03125,simon1996
1,10,-45.67578125,9.1875,simon1996
1,11,-35.01171875,42.86328125,simon1996
1,12,-29.296875,77.28125,simon1996
1,13,-30.51171875,108.2070313,simon1996
1,14,-41.578125,132.5234375,simon1996
1,15,-62.89453125,157.2148438,simon1996
1,16,-91.0546875,175.5117188,simon1996
1,17,-122.5429688,185.5234375,simon1996
1,18,-162.5273438,192.8164063,simon1996
1,19,-191.1484375,194.7539063,simon1996
1,20,-224.1835938,192.2265625,simon1996
1,21,-253.5078125,188.40625,simon1996
1,22,-267.2304688,185.3046875,simon1996
1,23,-274.5078125,182.1875,simon1996
1,24,-277.6289063,179.4296875,simon1996
1,25,-281.0390625,171.8867188,simon1996
1,26,-284.25,155.140625,simon1996
1,27,-284.2226563,129.2851563,simon1996
1,28,-278.8242188,98.45703125,simon1996
1,29,-273.4414063,75.97265625,simon1996
1,30,-268.5625,63.15234375,simon1996
1,31,-261.609375,52.33984375,simon1996
1,32,-247.1953125,40.3359375,simon1996
1,33,-214.5625,19.4140625,simon1996
1,34,-164.5273438,-6.22265625,simon1996
1,35,-107.8710938,-26.5703125,simon1996
1,36,-61.84375,-38,simon1996
1,37,-32.86328125,-41.57421875,simon1996
1,38,-4.09765625,-39.87890625,simon1996
1,39,24.8671875,-34.83203125,simon1996
1,40,47.25390625,-27.671875,simon1996
1,41,92.19921875,-8.6796875,simon1996
1,42,122.9453125,4.53515625,simon1996
1,43,144.1367188,15.1875,simon1996
1,44,165.859375,28.9375,simon1996
1,45,177.25,38.203125,simon1996
1,46,190.921875,46.29296875,simon1996
1,47,207.3828125,52.390625,simon1996
1,48,232.3359375,56.98828125,simon1996
1,49,245,58.30859375,simon1996
1,50,248.2617188,58.3984375,simon1996
1,51,251.9414063,58.3984375,simon1996
1,52,252.03125,58.3984375,simon1996
1,53,253.2226563,58.23046875,simon1996
1,54,259.0742188,56.72265625,simon1996
1,55,271.8164063,53.44140625,simon1996
1,56,290.1875,48.33984375,simon1996
1,57,306.9257813,43.67578125,simon1996
1,58,310.5859375,42.40625,simon1996
1,59,311.7421875,41.7265625,simon1996
1,60,311.8671875,41.5234375,simon1996
1,61,312.9375,39.8359375,simon1996
1,62,314.7382813,36.59375,simon1996
1,63,315.734375,33.73046875,simon1996
1,64,314.0742188,30.81640625,simon1996
