isPractice,frame,x,y,Participant,practiceTrial,propBefore,practiceCorr,stair_converged,stair_finalProp,personalMinMove,final_score,correct_above_60,bonus_usd,participant_id
1,0,-80.55078125,59.56640625,68348cbcb4102122787fdbd0,,,,,,,,,,
1,1,-78.32421875,61.99609375,68348cbcb4102122787fdbd0,,,,,,,,,,
1,2,-71.99609375,66.2265625,68348cbcb4102122787fdbd0,,,,,,,,,,
1,3,-53.0390625,73.84375,68348cbcb4102122787fdbd0,,,,,,,,,,
1,4,-15.94921875,83.9296875,68348cbcb4102122787fdbd0,,,,,,,,,,
1,5,61.953125,94.79296875,68348cbcb4102122787fdbd0,,,,,,,,,,
1,6,143.2460938,102.4414063,68348cbcb4102122787fdbd0,,,,,,,,,,
1,7,176.6171875,103.7070313,68348cbcb4102122787fdbd0,,,,,,,,,,
1,8,215.1523438,102.9570313,68348cbcb4102122787fdbd0,,,,,,,,,,
1,9,241.6601563,98.69140625,68348cbcb4102122787fdbd0,,,,,,,,,,
1,10,274.8789063,90.4921875,68348cbcb4102122787fdbd0,,,,,,,,,,
1,11,321.1796875,75.82421875,68348cbcb4102122787fdbd0,,,,,,,,,,
1,12,356.28125,55.125,68348cbcb4102122787fdbd0,,,,,,,,,,
1,13,377.625,34.5703125,68348cbcb4102122787fdbd0,,,,,,,,,,
1,14,397.921875,1.83203125,68348cbcb4102122787fdbd0,,,,,,,,,,
1,15,404.2109375,-16.15625,68348cbcb4102122787fdbd0,,,,,,,,,,
1,16,404.1640625,-26.58203125,68348cbcb4102122787fdbd0,,,,,,,,,,
1,17,395.9296875,-45.00390625,68348cbcb4102122787fdbd0,,,,,,,,,,
1,18,376.84375,-61.45703125,68348cbcb4102122787fdbd0,,,,,,,,,,
1,19,346.359375,-77.14453125,68348cbcb4102122787fdbd0,,,,,,,,,,
1,20,282.265625,-96.5859375,68348cbcb4102122787fdbd0,,,,,,,,,,
1,21,163.90625,-117.6171875,68348cbcb4102122787fdbd0,,,,,,,,,,
1,22,35.859375,-126.9296875,68348cbcb4102122787fdbd0,,,,,,,,,,
1,23,-115.1875,-128.5234375,68348cbcb4102122787fdbd0,,,,,,,,,,
1,24,-192.8789063,-124.8164063,68348cbcb4102122787fdbd0,,,,,,,,,,
1,25,-218.2070313,-121.8515625,68348cbcb4102122787fdbd0,,,,,,,,,,
