isPractice,frame,x,y,Participant,practiceTrial,propBefore,practiceCorr,stair_converged,stair_finalProp,personalMinMove
1,0,-135.8710938,-155.3554688,68348cbcb4102122787fdbd0,,,,,,
1,1,-135.7421875,-151.5273438,68348cbcb4102122787fdbd0,,,,,,
1,2,-135.5507813,-144.25,68348cbcb4102122787fdbd0,,,,,,
1,3,-134.6015625,-130.0898438,68348cbcb4102122787fdbd0,,,,,,
1,4,-134.4960938,-112.8203125,68348cbcb4102122787fdbd0,,,,,,
1,5,-134.4960938,-60.9296875,68348cbcb4102122787fdbd0,,,,,,
1,6,-134.84375,-1.140625,68348cbcb4102122787fdbd0,,,,,,
1,7,-135.7617188,44.55859375,68348cbcb4102122787fdbd0,,,,,,
1,8,-135.640625,66.6484375,68348cbcb4102122787fdbd0,,,,,,
1,9,-135.0859375,76.88671875,68348cbcb4102122787fdbd0,,,,,,
1,10,-134.5234375,79.375,68348cbcb4102122787fdbd0,,,,,,
1,11,-131.203125,84.40234375,68348cbcb4102122787fdbd0,,,,,,
1,12,-123.3046875,93.4140625,68348cbcb4102122787fdbd0,,,,,,
1,13,-110.6015625,103.7148438,68348cbcb4102122787fdbd0,,,,,,
1,14,-93.48046875,112.5664063,68348cbcb4102122787fdbd0,,,,,,
1,15,-69.65234375,120.609375,68348cbcb4102122787fdbd0,,,,,,
1,16,-33.7578125,125.5703125,68348cbcb4102122787fdbd0,,,,,,
1,17,8.59765625,128.2617188,68348cbcb4102122787fdbd0,,,,,,
1,18,71.44921875,129.6601563,68348cbcb4102122787fdbd0,,,,,,
1,19,133.640625,128.3046875,68348cbcb4102122787fdbd0,,,,,,
1,20,184.0976563,123.765625,68348cbcb4102122787fdbd0,,,,,,
1,21,252.0117188,114.6601563,68348cbcb4102122787fdbd0,,,,,,
1,22,325.359375,101.9570313,68348cbcb4102122787fdbd0,,,,,,
1,23,373.8828125,94.00390625,68348cbcb4102122787fdbd0,,,,,,
1,24,443.0078125,84.31640625,68348cbcb4102122787fdbd0,,,,,,
1,25,491.25,77.2109375,68348cbcb4102122787fdbd0,,,,,,
1,26,514.5351563,73.27734375,68348cbcb4102122787fdbd0,,,,,,
1,27,525.2109375,70.84375,68348cbcb4102122787fdbd0,,,,,,
1,28,531.9140625,68.3828125,68348cbcb4102122787fdbd0,,,,,,
1,29,537.0664063,64.5625,68348cbcb4102122787fdbd0,,,,,,
1,30,540.2890625,61.17578125,68348cbcb4102122787fdbd0,,,,,,
1,31,542.2929688,56.9296875,68348cbcb4102122787fdbd0,,,,,,
1,32,541.5664063,52.97265625,68348cbcb4102122787fdbd0,,,,,,
1,33,535.625,47.2734375,68348cbcb4102122787fdbd0,,,,,,
1,34,517.609375,35.609375,68348cbcb4102122787fdbd0,,,,,,
1,35,475.4765625,16.66015625,68348cbcb4102122787fdbd0,,,,,,
1,36,401.6171875,-6.19140625,68348cbcb4102122787fdbd0,,,,,,
1,37,235.1210938,-40.80859375,68348cbcb4102122787fdbd0,,,,,,
1,38,-22.73828125,-81.79296875,68348cbcb4102122787fdbd0,,,,,,
1,39,-226.4492188,-105.5078125,68348cbcb4102122787fdbd0,,,,,,
1,40,-500.390625,-119.1054688,68348cbcb4102122787fdbd0,,,,,,
1,41,-667.0546875,-124.328125,68348cbcb4102122787fdbd0,,,,,,
1,42,-754.1171875,-123.0742188,68348cbcb4102122787fdbd0,,,,,,
1,43,-772.703125,-122.1914063,68348cbcb4102122787fdbd0,,,,,,
1,44,-784.296875,-121.1679688,68348cbcb4102122787fdbd0,,,,,,
1,45,-784.296875,-121.1679688,68348cbcb4102122787fdbd0,,,,,,
1,46,-784.296875,-121.1679688,68348cbcb4102122787fdbd0,,,,,,
1,47,-784.296875,-121.1679688,68348cbcb4102122787fdbd0,,,,,,
1,48,-783.7382813,-121.1679688,68348cbcb4102122787fdbd0,,,,,,
1,49,-783.2226563,-121.1601563,68348cbcb4102122787fdbd0,,,,,,
1,50,-781.09375,-120.7148438,68348cbcb4102122787fdbd0,,,,,,
1,51,-773.4960938,-119.4570313,68348cbcb4102122787fdbd0,,,,,,
1,52,-750.8867188,-116.1601563,68348cbcb4102122787fdbd0,,,,,,
1,53,-707.6171875,-111.0351563,68348cbcb4102122787fdbd0,,,,,,
1,54,-589.7890625,-100.5859375,68348cbcb4102122787fdbd0,,,,,,
1,55,-467.5351563,-92.15625,68348cbcb4102122787fdbd0,,,,,,
