isPractice,frame,x,y,Participant
1,0,-136.9609375,-148.7890625,1996
1,1,-137.1523438,-148.875,1996
1,2,-138.9609375,-141.1679688,1996
1,3,-138.984375,-140.9414063,1996
1,4,-138.15625,-141.2734375,1996
1,5,-135.2265625,-141.4296875,1996
1,6,-131.8125,-141.6992188,1996
1,7,-131.0664063,-141.6992188,1996
1,8,-131.0664063,-141.6992188,1996
1,9,-131.0664063,-141.6992188,1996
1,10,-131.0664063,-141.6992188,1996
1,11,-131.0664063,-141.6992188,1996
1,12,-131.0664063,-141.6992188,1996
1,13,-131.0664063,-141.6992188,1996
1,14,-131.0664063,-141.6992188,1996
1,15,-131.0664063,-141.6992188,1996
1,16,-131.0664063,-141.6992188,1996
1,17,-131.0664063,-141.6992188,1996
1,18,-131.0664063,-141.6992188,1996
1,19,-131.0664063,-141.6992188,1996
1,20,-131.0664063,-141.6992188,1996
1,21,-131.0664063,-141.6992188,1996
1,22,-131.0664063,-141.6992188,1996
1,23,-131.0664063,-141.6992188,1996
1,24,-131.0664063,-141.6992188,1996
1,25,-131.0664063,-141.6992188,1996
1,26,-131.0664063,-141.6992188,1996
1,27,-131.0664063,-141.6992188,1996
1,28,-131.0664063,-141.6992188,1996
1,29,-131.9414063,-142.0625,1996
1,30,-131.9570313,-142.0664063,1996
1,31,-131.9570313,-142.0664063,1996
1,32,-131.9101563,-141.921875,1996
1,33,-131.1992188,-140.6015625,1996
1,34,-127.4804688,-134.7851563,1996
1,35,-118.5820313,-121.9023438,1996
1,36,-107.7734375,-107.7890625,1996
1,37,-83.515625,-78.55859375,1996
1,38,-61.62109375,-50.1640625,1996
1,39,-52.28515625,-34.59375,1996
1,40,-43.85546875,-10.96484375,1996
1,41,-40.22265625,7.3125,1996
1,42,-37.109375,24.4609375,1996
1,43,-35.0859375,41.515625,1996
1,44,-36.51171875,58.59375,1996
1,45,-40.53125,70.31640625,1996
1,46,-44.58984375,76.02734375,1996
1,47,-49.35546875,80.88671875,1996
1,48,-54.2265625,85.18359375,1996
1,49,-59.77734375,89.62109375,1996
1,50,-68.45703125,95.52734375,1996
1,51,-76.0390625,98.984375,1996
1,52,-85.7265625,102.2695313,1996
1,53,-93.6328125,104.4648438,1996
1,54,-98.48046875,105.34375,1996
1,55,-102.171875,105.6757813,1996
1,56,-106.7304688,105.7382813,1996
1,57,-112.9023438,105.7382813,1996
1,58,-124.8203125,105.4726563,1996
1,59,-133.6679688,104.6601563,1996
1,60,-143.6015625,103.4101563,1996
1,61,-159.03125,100.9609375,1996
1,62,-170.9296875,98.3671875,1996
1,63,-185.7539063,93.71484375,1996
1,64,-205.1484375,84.765625,1996
1,65,-224.5078125,73.25390625,1996
1,66,-244.2148438,57.30078125,1996
1,67,-249.3359375,51.23046875,1996
1,68,-254.34375,41.23828125,1996
1,69,-255.6640625,33.890625,1996
1,70,-255.765625,24.94140625,1996
1,71,-255.0703125,11.4296875,1996
1,72,-252.1601563,-3.6796875,1996
1,73,-243.5039063,-25.9609375,1996
1,74,-231.0078125,-53.06640625,1996
1,75,-221.953125,-70.64453125,1996
1,76,-207.2382813,-95.16015625,1996
1,77,-199.5976563,-105.9375,1996
1,78,-193.8085938,-112.9375,1996
1,79,-187.3242188,-119.9023438,1996
1,80,-180.8515625,-125.7265625,1996
1,81,-167.2890625,-135.9179688,1996
1,82,-145.2070313,-148.703125,1996
1,83,-126.7304688,-157.8359375,1996
1,84,-95.609375,-169.0898438,1996
1,85,-71.83203125,-174.3984375,1996
1,86,-43.58203125,-177.9609375,1996
1,87,-1.65625,-181.3359375,1996
1,88,41.71484375,-184.3554688,1996
1,89,96.28125,-187.0195313,1996
1,90,152.625,-188.1679688,1996
1,91,187.9609375,-187.5585938,1996
