isPractice,frame,x,y,PROLIFIC_PID,STUDY_ID,SESSION_ID,Participant,StudyID,SessionID
1,33,249.3632813,73.5078125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,34,261.96875,68.04296875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,35,276.203125,60.57421875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,36,287.2617188,52.296875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,37,296.7460938,42.09375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,38,308.7929688,27.671875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,39,317.4921875,16.03125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,40,330.0976563,-2.6953125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,41,332.859375,-11.4375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,42,328.8945313,-17.234375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,43,305.6523438,-29.13671875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,44,257.8203125,-36.578125,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,45,208.3828125,-38.10546875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,46,140.3125,-37.609375,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,47,-41.6875,-30.6171875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
1,48,-83.9921875,-26.26171875,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs,68348cbcb4102122787fdbd0,UNSAVED-STUDY,060baqt9k6vs
