snippet_id,catch_type,phase,angle_bias,expect_level,true_shape,resp_shape,conf_level,accuracy,rt_choice,agency_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
2,,practice,0,high,dot,dot,4,1,6.288108750013635,85.0,0.8,1,001,green,blue,
3,,practice,90,high,square,square,1,1,1.2084820420132019,86.0,0.8,1,001,green,blue,
7,,practice,90,low,dot,dot,3,1,1.3690268750069663,77.0,0.5,1,001,green,blue,
8,,practice,0,low,square,square,2,1,0.6889752079732716,83.0,0.5,1,001,green,blue,
3,,practice,90,high,square,square,2,1,0.5934803750133142,83.0,0.75,1,001,green,blue,
5,,practice,0,low,dot,dot,3,1,2.480167666974012,88.0,0.45,1,001,green,blue,
6,,practice,0,high,square,dot,3,0,2.2174066670122556,89.0,0.75,1,001,green,blue,
1,,practice,0,low,square,square,2,1,0.8024042919860221,95.0,0.4,1,001,green,blue,
2,,practice,90,high,square,dot,4,0,2.214892958989367,88.0,0.7,1,001,green,blue,
