timestamp,frame,mouse_x,mouse_y,square_x,square_y,dot_x,dot_y,participant,session,trial_num,phase,angle_bias,expect_level,prop_used,conf_level,agency_rating
0.00012820796109735966,1,-1.0,0.0,-136.73883922055185,157.0325961233588,136.44779647050825,-157.0598354358479,007,001,1,practice,90,low,0.5,4,
0.002387207990977913,2,-1.0,0.0,-136.8940620205751,157.0714018233646,136.37018507049663,-157.12043258584498,007,001,1,practice,90,low,0.5,4,
0.004287499992642552,3,-1.0,0.0,-137.0182402605937,157.10244638336926,136.30809595048734,-157.16891030584264,007,001,1,practice,90,low,0.5,4,
0.005992166989017278,4,-1.0,0.0,-137.1175828526086,157.12728203137297,136.2584246544799,-157.20769248184078,007,001,1,practice,90,low,0.5,4,
0.007768957992084324,5,-1.0,0.0,-137.1970569262205,157.14715054977594,136.21868761767396,-157.23871822263928,007,001,1,practice,90,low,0.5,4,
0.009483416972216219,6,-1.0,0.0,-137.26063618511003,157.16304536449832,136.1868979882292,-157.26353881527808,007,001,1,practice,90,low,0.5,4,
0.011289666988886893,7,-1.0,0.0,-137.31149959222165,157.17576121627621,136.1614662846734,-157.28339528938912,007,001,1,practice,90,low,0.5,4,
0.012990207993425429,8,-1.0,0.0,-137.35219031791095,157.18593389769853,136.14112092182876,-157.29928046867795,007,001,1,practice,90,low,0.5,4,
0.014761541970074177,9,-1.0,0.0,-137.38474289846238,157.19407204283638,136.12484463155303,-157.31198861210902,007,001,1,practice,90,low,0.5,4,
0.018607791978865862,10,-1.0,0.0,-137.41078496290353,157.20058255894668,136.11182359933247,-157.3221551268539,007,001,1,practice,90,low,0.5,4,
0.033617125009186566,11,-4.0,0.0,-136.90756469135758,157.4979681196146,136.36343373510545,-157.48419976475992,007,001,1,practice,90,low,0.5,4,
0.036252332967706025,12,-36.0,10.0,-129.84156261570075,156.98837684952767,138.89643477293387,-161.18758533439538,007,001,1,practice,90,low,0.5,4,
0.04968337499303743,13,-36.0,10.0,-124.18876095517528,156.58070383345813,140.9228356031966,-164.15029379010375,007,001,1,practice,90,low,0.5,4,
0.052356000000145286,14,-64.0,26.0,-113.51721967454874,154.3087724979622,144.01860624350988,-170.29335701599058,007,001,1,practice,90,low,0.5,4,
0.06623733299784362,15,-64.0,26.0,-104.97998665004751,152.49122742956544,146.4952227557605,-175.20780759670006,007,001,1,practice,90,low,0.5,4,
0.06876004196237773,16,-71.0,28.0,-96.69848896677699,150.92523420922197,149.00237159739575,-179.8953466440807,007,001,1,practice,90,low,0.5,4,
0.08309704199200496,17,-71.0,28.0,-90.07329082016058,149.6724396329472,151.00809067070395,-183.64537788198518,007,001,1,practice,90,low,0.5,4,
0.08558533299947158,18,-79.0,29.0,-86.37554322309632,148.49053972191848,151.71146046923607,-187.53523499731324,007,001,1,practice,90,low,0.5,4,
0.09980779199395329,19,-79.0,29.0,-83.4173451454449,147.54501979309552,152.27415630806178,-190.64712068957567,007,001,1,practice,90,low,0.5,4,
0.1024261669954285,20,-86.0,28.0,-82.46208979049582,146.69792011562743,152.11866142553632,-193.88197111059048,007,001,1,practice,90,low,0.5,4,
0.1164270419976674,21,-86.0,28.0,-81.69788550653657,146.02024037365294,151.99426551951595,-196.46985144740233,007,001,1,practice,90,low,0.5,4,
0.11900337500264868,22,-100.0,26.0,-83.90743116959584,145.68418370892059,150.51505643150304,-199.61266940608115,007,001,1,practice,90,low,0.5,4,
0.133173749956768,23,-100.0,26.0,-85.67506770004326,145.4153383771347,148.55675687989344,-201.07433945018502,007,001,1,practice,90,low,0.5,4,
0.13587016699602827,24,-111.0,21.0,-89.4255324783075,145.8178726084846,146.17788689729284,-202.81031872723403,007,001,1,practice,90,low,0.5,4,
0.1497117499820888,25,-111.0,21.0,-92.4259043009189,146.1398999935645,144.26951874251762,-204.17224581662018,007,001,1,practice,90,low,0.5,4,
0.15222554199863225,26,-116.0,17.0,-95.97375117144594,145.8290763492548,142.2576065856513,-205.57911705356182,007,001,1,practice,90,low,0.5,4,
